c1run2_38_X_isl1.e8.5	c1run1_48_X_isl1.e8.5	c1run2_74_X_isl1.e8.5	c1run1_17_X_isl1.e8.5	c1run1_40_X_isl1.e8.5	c1run2_05_X_isl1.e8.5	c1run2_01_X_isl1.e8.5	c1run1_21_X_isl1.e8.5	c1run1_35_X_isl1.e8.5	c1run1_05_X_isl1.e8.5	c1run2_91_X_isl1.e8.5	c1run2_21_X_isl1.e8.5	c1run2_61_X_isl1.e8.5	c1run1_37_X_isl1.e8.5	c1run1_66_X_isl1.e8.5	c1run2_14_X_isl1.e8.5	c1run1_42_X_isl1.e8.5	c1run2_37_X_isl1.e8.5	c1run1_19_X_isl1.e8.5	c1run1_64_X_isl1.e8.5	c1run2_68_X_isl1.e8.5	c1run2_33_X_isl1.e8.5	c1run2_40_X_isl1.e8.5	c1run1_30_X_isl1.e8.5	c1run1_28_X_isl1.e8.5	c1run1_36_X_isl1.e8.5	c1run2_02_X_isl1.e8.5	c1run2_07_X_isl1.e8.5	c1run6_23_X_isl1.e8.5	c1run2_69_X_isl1.e8.5	c1run1_49_X_isl1.e8.5	c1run3_28_X_isl1.e9.5	c1run6_15_X_isl1.e8.5	c1run4_25_X_isl1.e9.5	c1run2_87_X_isl1.e8.5	c1run6_46_X_isl1.e8.5	c1run1_33_X_isl1.e8.5	c1run1_46_X_isl1.e8.5	c1run2_80_X_isl1.e8.5
Gata6	-2.85714563074674	-5.23893927547433	1.73994529923118	-5.95834530160462	2.06135822039758	-2.7622955453043	3.40114792405899	1.49759898289789	2.2183064458261	3.1470846618764	-1.525707711536	-5.19225283878616	-3.96725766468362	2.50915939527618	2.11605506389475	0.331672323462337	-1.46801240808636	-5.95834530160462	3.25005956531821	-0.316449868669583	-3.87738190248431	2.92808447770235	1.78890759308247	0.884701533866152	3.36385549258851	3.56362826441806	3.4854020030686	3.53470588362916	-1.18444631810743	2.30337351427845	1.45703393780818	5.13091404905042	2.41626976582706	0.9715255544429	-1.47130794226069	-2.19338595202894	-5.95834530160462	1.787174312585	-5.95834530160462
Tead4	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	0.186424233682746	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	-1.11872008220034	5.5108140553083	-1.11872008220034	0.530753203815469	-1.11872008220034	-1.11872008220034	-1.11872008220034	3.50147819962603	2.17200676964161	-1.11872008220034	2.33145794038636	-1.11872008220034	3.58550786007075	0.0830941814238342	-1.11872008220034	5.91628748930011	-1.11872008220034	4.89434866399132	2.61198970436291
Fosl2	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	0.675747435519668	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	4.42527526859225	0.153829443400934	-0.750417199450903	7.59601823652448	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	-0.750417199450903	4.46205670202637	7.45084049581608
Zeb1	-5.19281589515044	-5.19281589515044	0.131260209882319	-0.748714855246611	-2.26493958291877	2.1087499638922	0.960834249796055	-5.19281589515044	2.89339412186289	3.00879294850674	-0.665103276171195	2.56275134955065	-5.19281589515044	-3.79132448010039	-0.874987563696422	-5.19281589515044	-5.19281589515044	-5.19281589515044	3.40390262395056	0.497025711897026	-0.334780021953273	3.16997091734666	-1.19029359222452	0.00873745160412565	-5.19281589515044	2.51805935731154	2.88518197722548	1.80878503751437	4.05330128311241	3.97987597852124	3.77091520623979	-4.31601830232413	1.53900699049168	3.06111336940187	3.71584941497933	1.06584362858291	3.97384309994979	5.45504410985753	-0.843550165638331
Gata4	5.76379835345767	-2.59958956854641	5.35206655043875	3.70196090919055	-2.59958956854641	-2.59958956854641	-2.59958956854641	0.766476742780149	2.32182069138386	1.44520742332034	-2.59958956854641	3.60729508357623	3.76369833875148	-2.59958956854641	5.7508109027198	-2.59958956854641	2.57615850306104	-2.59958956854641	3.31256292359968	6.14718548576984	-2.59958956854641	-2.59958956854641	0.757680708053329	-2.59958956854641	-1.29552037271138	-2.59958956854641	-2.59958956854641	0.317597247680354	-2.59958956854641	6.42161897276881	-2.59958956854641	6.48055204418059	-2.59958956854641	-2.59958956854641	-2.59958956854641	-2.59958956854641	-2.59958956854641	-2.59958956854641	-2.59958956854641
Foxo4	-0.870951593401934	2.71287652490399	7.16810351638671	-0.870951593401934	-0.870951593401934	5.81632946683498	-0.870951593401934	0.863559796130251	-0.870951593401934	-0.870951593401934	2.42572703941609	-0.104859130583474	-0.870951593401934	-0.0063215412940546	-0.870951593401934	-0.870951593401934	-0.316502249808336	0.0148852261972221	-0.870951593401934	-0.870951593401934	-0.870951593401934	1.11821144518609	2.48631868319781	-0.870951593401934	0.433117602433097	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	0.0332950494499026	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934	-0.870951593401934
Gata5	-0.925831729875332	-2.66252924882305	-2.66252924882305	3.73098704169764	-2.66252924882305	0.0848842485276995	-0.195631192401139	5.82091997685704	6.94547849338865	-2.66252924882305	-2.66252924882305	5.49110491663084	-2.66252924882305	6.20797024628706	-2.66252924882305	-2.66252924882305	5.47306498441003	-2.66252924882305	1.22409707094132	6.37571623016505	-2.66252924882305	-2.66252924882305	4.23122103414611	-2.66252924882305	3.37412178201272	-2.66252924882305	-2.66252924882305	0.485503648678159	-2.66252924882305	6.47263903056473	-2.66252924882305	6.44192694089965	-2.66252924882305	-2.66252924882305	-2.66252924882305	-2.66252924882305	-2.66252924882305	-2.66252924882305	-2.66252924882305
Tcf3	1.58819399553467	-0.186979404278071	-3.03574650358128	-0.771612510116663	2.01978070549765	3.43318649550493	1.99057515506515	1.40184968822543	-1.12628804347025	-2.03954563051187	1.1873620087415	-2.46994974702437	-0.848729252306935	-2.26597155566345	-4.51197769929881	-3.50380872384069	-1.03799336467033	-0.963424369939238	-0.459942958381187	-0.784962487720807	0.939873781181753	0.491613234623213	1.34306012363787	0.815269660125431	3.87783510391637	2.52186746527306	0.825839789149827	1.82903147659365	-2.30143679977623	1.25552349263277	-0.876515950848695	3.11338147928098	0.919527301659222	-2.45437723406817	0.110782846020392	-1.43894448973648	1.6505430014406	1.20161026648919	-1.43850034536016
Tcf7	0.898269639728381	3.36402589408441	0.689354879372768	-1.29384818887116	2.56285704843047	3.32014423985608	1.50975829510817	3.32644979493947	3.09920437403984	-5.22719679831735	0.40349367870927	-0.0559553126325403	1.37573949660155	-1.78751087398121	3.77412029652383	2.68498222879708	-5.22719679831735	-3.40201833588474	-5.22719679831735	0.681039024167339	3.17406760341628	3.30719648808931	-0.382008075909012	3.04810864111644	-0.448652530777972	3.39677941868571	0.847477433241103	2.71595699512042	0.262418601354965	2.87436932719028	-0.161232333797186	-5.22719679831735	-1.22350315866098	-0.869341202530634	-1.48728515845661	-5.22719679831735	0.38591936115033	-5.22719679831735	-5.22719679831735
Twist1	2.49171922709691	0.0117792018134582	0.593327202037213	-0.00859434600015074	1.42271784342039	-0.216457936725009	2.26128466953011	3.35533595210777	-0.00383695955982066	-5.18032501262644	0.450365464400179	1.18207909123584	2.12073763623773	2.45506892705906	1.76890575500448	0.592309575068798	0.137791583205418	-0.241368167030767	1.06060865361601	2.70978048329948	-5.18032501262644	2.76236809249818	1.38399196025273	-1.92501111710809	-2.74530164298382	-2.39927570612811	-5.18032501262644	1.37522716853325	0.309290387045874	1.13148729789505	2.80696886408684	-5.18032501262644	-0.22231607021974	2.25128095097238	1.50870661038243	0.379782029917689	2.32119739479688	-5.18032501262644	-5.18032501262644
